Year,CO2 Emissions
1990,464.972528567772
1991,470.133013625862
1992,409.771876603363
1993,355.593461528384
1994,311.225493974292
1995,272.136953998124
1996,227.528584604822
1997,194.499155724662
1998,184.55170027124
1999,154.911973034974
2000,137.215676347278
2001,128.747034707141
2002,131.002449224655
2003,127.390600538148
2004,117.411407668618
2005,108.623840644296
2006,90.3129052678576
2007,85.0779201091475
2008,76.0917499116289
2009,71.2990178322923
2010,66.4987898133564
2011,60.6416771923102
2012,56.728338323236
2013,53.1688660560949
2014,50.1581987243051
2015,49.2500556987573
2016,47.8143734988614
2017,45.7213070002492
2018,44.9399118799138
2019,42.3102153032619
2020,32.4676767754552
2021,33.3930232760951
2022,33.9992541526285
