code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
J59-1;Adler <040080>;;Adler <040080>;;;;;;
J59-225;Abarth <070022>;;Abarth <070022>;;;;;;
J59-209;Achleitner (A) <010050>;;Achleitner (A) <010050>;;;;;;
J59-2;Aero <100180>;;Aero <100180>;;;;;;
J59-3;Alfa Romeo <070300>;;Alfa Romeo <070300>;;;;;;
J59-193;Allard (GB) <050315>;;Allard (GB) <050315>;;;;;;
J59-306;Alpine (F) <060367>;;Alpine (F) <060367>;;;;;;
J59-274;Ariel (GB) <050500>;;Ariel (GB) <050500>;;;;;;
J59-195;Aston Martin (GB) <050520>;;Aston Martin (GB) <050520>;;;;;;
J59-5;Audi (D) <040540>;;Audi (D) <040540>;;;;;;
J59-173;Audi (H) <120540>;;Audi (H) <120540>;;;;;;
J59-6;Austin <050560>;;Austin <050560>;;;;;;
J59-7;Austro Fiat <010620>;;Austro Fiat <010620>;;;;;;
J59-8;Auto Dacia <210650>;;Auto Dacia <210650>;;;;;;
J59-4;AMC <020410>;;AMC <020410>;;;;;;
J59-9;AU DKW <040680>;;AU DKW <040680>;;;;;;
J59-138;AWE (D) <040720>;;AWE (D) <040720>;;;;;;
J59-10;AWE (DDR) <150720>;;AWE (DDR) <150720>;;;;;;
J59-139;AWZ (D) <040740>;;AWZ (D) <040740>;;;;;;
J59-11;AWZ (DDR) <150740>;;AWZ (DDR) <150740>;;;;;;
J59-295;Baic (RC) <330790>;;Baic (RC) <330790>;;;;;;
J59-137;Barkas (D) <040900>;;Barkas (D) <040900>;;;;;;
J59-12;Barkas (DDR) <150900>;;Barkas (DDR) <150900>;;;;;;
J59-13;Bedford <050980>;;Bedford <050980>;;;;;;
J59-14;Bentley <051060>;;Bentley <051060>;;;;;;
J59-15;Bianchi <071120>;;Bianchi <071120>;;;;;;
J59-18;Borgward <041300>;;Borgward <041300>;;;;;;
J59-19;Brit.Leyland <051380>;;Brit.Leyland <051380>;;;;;;
J59-212;Bugatti (F) <061510>;;Bugatti (F) <061510>;;;;;;
J59-20;Buick <021520>;;Buick <021520>;;;;;;
J59-296;Byd (RC) <331583>;;Byd (RC) <331583>;;;;;;
J59-16;BMW (DE) <041240>;;BMW (DE) <041240>;;;;;;
J59-177;BMW (GB) <051240>;;BMW (GB) <051240>;;;;;;
J59-17;BMW Isetta <041260>;;BMW Isetta <041260>;;;;;;
J59-262;Cadillac (MEX) <371620>;;Cadillac (MEX) <371620>;;;;;;
J59-213;Cadillac (S) <081620>;;Cadillac (S) <081620>;;;;;;
J59-21;Cadillac (USA) <021620>;;Cadillac <021620>;;;;;;
J59-187;Caterham Cars (GB) <051675>;;Caterham Cars (GB) <051675>;;;;;;
J59-230;Chevrolet (MEX) <371780>;;Chevrolet (MEX) <371780>;;;;;;
J59-229;Chevrolet (ROK) <271780>;;Chevrolet (ROK) <271780>;;;;;;
J59-305;Chevrolet (RUS) <111780>;;Chevrolet (RUS) <271780>;;;;;;
J59-22;Chevrolet (USA) <021780>;;Chevrolet <021780>;;;;;;
J59-200;Chevrolet /Daewoo <271781>;;Chevrolet /Daewoo <271781>;;;;;;
J59-223;Chevrolet /Daewoo (MEX) <371781>;;Chevrolet /Daewoo (MEX) <371781>;;;;;;
J59-185;Chrysler (A) <011820>;;Chrysler (A) <011820>;;;;;;
J59-175;Chrysler (CND) <361820>;;Chrysler (CND) <361820>;;;;;;
J59-24;Chrysler (USA) <021820>;;Chrysler (USA) <021820>;;;;;;
J59-25;Chrysler Talbot Simca <061830>;;Chrysler Talbot Simca <061830>;;;;;;
J59-23;Chrysler Talbot Sunbeam <051810>;;Chrysler Talbot Sunbeam <051810>;;;;;;
J59-26;Citroen <061840>;;Citroen <061840>;;;;;;
J59-27;Commer <051940>;;Commer <051940>;;;;;;
J59-285;Cupra (E) <221985>;;Cupra (E) <221985>;;;;;;
J59-244;Dacia (RO) <212022>;;Dacia (RO) <212022>;;;;;;
J59-156;Daewoo <272050>;;Daewoo <272050>;;;;;;
J59-241;Daihatsu (F) <062070>;;Daihatsu (F) <062070>;;;;;;
J59-158;Daihatsu (I) <072070>;;Daihatsu (I) <072070>;;;;;;
J59-29;Daihatsu (J) <172070>;;Daihatsu (J) <172070>;;;;;;
J59-30;Daimler The <052080>;;Daimler The <052080>;;;;;;
J59-293;Dallara (I) <072083>;;Dallara (I) <072083>;;;;;;
J59-32;De Tomaso <072230>;;De Tomaso <072230>;;;;;;
J59-214;Derbi (E) <222210>;;Derbi (E) <222210>;;;;;;
J59-141;Dodge (GB) <052320>;;Dodge (GB) <052320>;;;;;;
J59-33;Dodge (USA) <022320>;;Dodge (USA) <022320>;;;;;;
J59-201;Donkevoort (NL) <132341>;;Donkevoort (NL) <132341>;;;;;;
J59-28;DAF <132060>;;DAF <132060>;;;;;;
J59-258;DFSK (RC) <332257>;;DFSK (RC) <332257>;;;;;;
J59-266;DS (F) <062455>;;DS (F) <062455>;;;;;;
J59-34;Ferrari <073100>;;Ferrari <073100>;;;;;;
J59-210;Fiat (H) <123120>;;Fiat (H) <123120>;;;;;;
J59-292;Fiat(F) <063120>;;Fiat(F) <063120>;;;;;;
J59-36;Fiat (I) <073120>;;Fiat (I) <073120>;;;;;;
J59-242;Fiat (MEX) <373120>;;Fiat (MEX) <373120>;;;;;;
J59-37;Fiat (PL) <203120>;;Fiat (PL) <203120>;;;;;;
J59-226;Fiat (TR) <393120>;;Fiat (TR) <393120>;;;;;;
J59-35;Fiat-Seat <223110>;;Fiat-Seat <223110>;;;;;;
