code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
A10-200001;Jänner 2000;;January 2000;;;;;;
A10-200002;Februar 2000;;February 2000;;;;;;
A10-200003;März 2000;;March 2000;;;;;;
A10-200004;April 2000;;April 2000;;;;;;
A10-200005;Mai 2000;;May 2000;;;;;;
A10-200006;Juni 2000;;June 2000;;;;;;
A10-200007;Juli 2000;;July 2000;;;;;;
A10-200008;August 2000;;August 2000;;;;;;
A10-200009;September 2000;;September 2000;;;;;;
A10-200010;Oktober 2000;;October 2000;;;;;;
A10-200011;November 2000;;November 2000;;;;;;
A10-200012;Dezember 2000;;December 2000;;;;;;
A10-200101;Jänner 2001;;January 2001;;;;;;
A10-200102;Februar 2001;;February 2001;;;;;;
A10-200103;März 2001;;March 2001;;;;;;
A10-200104;April 2001;;April 2001;;;;;;
A10-200105;Mai 2001;;May 2001;;;;;;
A10-200106;Juni 2001;;June 2001;;;;;;
A10-200107;Juli 2001;;July 2001;;;;;;
A10-200108;August 2001;;August 2001;;;;;;
A10-200109;September 2001;;September 2001;;;;;;
A10-200110;Oktober 2001;;October 2001;;;;;;
A10-200111;November 2001;;November 2001;;;;;;
A10-200112;Dezember 2001;;December 2001;;;;;;
A10-200201;Jänner 2002;;January 2002;;;;;;
A10-200202;Februar 2002;;February 2002;;;;;;
A10-200203;März 2002;;March 2002;;;;;;
A10-200204;April 2002;;April 2002;;;;;;
A10-200205;Mai 2002;;May 2002;;;;;;
A10-200206;Juni 2002;;June 2002;;;;;;
A10-200207;Juli 2002;;July 2002;;;;;;
A10-200208;August 2002;;August 2002;;;;;;
A10-200209;September 2002;;September 2002;;;;;;
A10-200210;Oktober 2002;;October 2002;;;;;;
A10-200211;November 2002;;November 2002;;;;;;
A10-200212;Dezember 2002;;December 2002;;;;;;
A10-200301;Jänner 2003;;January 2003;;;;;;
A10-200302;Februar 2003;;February 2003;;;;;;
A10-200303;März 2003;;March 2003;;;;;;
A10-200304;April 2003;;April 2003;;;;;;
A10-200305;Mai 2003;;May 2003;;;;;;
A10-200306;Juni 2003;;June 2003;;;;;;
A10-200307;Juli 2003;;July 2003;;;;;;
A10-200308;August 2003;;August 2003;;;;;;
A10-200309;September 2003;;September 2003;;;;;;
A10-200310;Oktober 2003;;October 2003;;;;;;
A10-200311;November 2003;;November 2003;;;;;;
A10-200312;Dezember 2003;;December 2003;;;;;;
A10-200401;Jänner 2004;;January 2004;;;;;;
A10-200402;Februar 2004;;February 2004;;;;;;
A10-200403;März 2004;;March 2004;;;;;;
A10-200404;April 2004;;April 2004;;;;;;
A10-200405;Mai 2004;;May 2004;;;;;;
A10-200406;Juni 2004;;June 2004;;;;;;
A10-200407;Juli 2004;;July 2004;;;;;;
A10-200408;August 2004;;August 2004;;;;;;
A10-200409;September 2004;;September 2004;;;;;;
A10-200410;Oktober 2004;;October 2004;;;;;;
A10-200411;November 2004;;November 2004;;;;;;
A10-200412;Dezember 2004;;December 2004;;;;;;
A10-200501;Jänner 2005;;January 2005;;;;;;
A10-200502;Februar 2005;;February 2005;;;;;;
A10-200503;März 2005;;March 2005;;;;;;
A10-200504;April 2005;;April 2005;;;;;;
A10-200505;Mai 2005;;May 2005;;;;;;
A10-200506;Juni 2005;;June 2005;;;;;;
A10-200507;Juli 2005;;July 2005;;;;;;
A10-200508;August 2005;;August 2005;;;;;;
A10-200509;September 2005;;September 2005;;;;;;
A10-200510;Oktober 2005;;October 2005;;;;;;
A10-200511;November 2005;;November 2005;;;;;;
A10-200512;Dezember 2005;;December 2005;;;;;;
A10-200601;Jänner 2006;;January 2006;;;;;;
A10-200602;Februar 2006;;February 2006;;;;;;
A10-200603;März 2006;;March 2006;;;;;;
A10-200604;April 2006;;April 2006;;;;;;
A10-200605;Mai 2006;;May 2006;;;;;;
